,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[20],-0.655415,0.00206686,0.0982988,0.0955318,-0.834324,-0.645595,-0.509484,2505.62,1985.14,1273.83,1.00084
log_lik[21],-0.589565,0.00117219,0.0599986,0.0594356,-0.694219,-0.587669,-0.496039,2748.22,2514.37,1397.16,1.00116
log_lik[22],-0.589565,0.00117219,0.0599986,0.0594356,-0.694219,-0.587669,-0.496039,2748.22,2514.37,1397.16,1.00116
log_lik[23],-2.25659,0.00341894,0.175739,0.175002,-2.55616,-2.24784,-1.99248,2589.6,2276.66,1316.52,1.00212
log_lik[24],-0.544127,0.00112778,0.0545981,0.0560188,-0.636939,-0.544089,-0.456804,2414.34,2266.43,1227.42,1.00085
log_lik[25],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[26],-1.25941,0.00172606,0.0851095,0.0814017,-1.41116,-1.24924,-1.13751,2620.63,2776.36,1332.3,1.0003
log_lik[27],-1.1409,0.00131249,0.0705871,0.0703378,-1.25705,-1.13986,-1.02398,2971.9,3118.93,1510.88,1.00106
log_lik[28],-1.1409,0.00131249,0.0705871,0.0703378,-1.25705,-1.13986,-1.02398,2971.9,3118.93,1510.88,1.00106
log_lik[29],-2.40159,0.00401357,0.213768,0.213021,-2.78072,-2.38411,-2.07597,2757.63,2520.39,1401.95,1.00057
log_lik[30],-0.655415,0.00206686,0.0982988,0.0955318,-0.834324,-0.645595,-0.509484,2505.62,1985.14,1273.83,1.00084
log_lik[31],-1.19804,0.00121421,0.0602958,0.0602339,-1.30191,-1.19582,-1.10617,2606.99,1861.67,1325.37,1.00153
log_lik[32],-4.31108,0.00827376,0.408164,0.41194,-5.00942,-4.2807,-3.66983,2421.09,2227.2,1230.85,1.00115
log_lik[33],-0.544127,0.00112778,0.0545981,0.0560188,-0.636939,-0.544089,-0.456804,2414.34,2266.43,1227.42,1.00085
log_lik[34],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[35],-1.1409,0.00131249,0.0705871,0.0703378,-1.25705,-1.13986,-1.02398,2971.9,3118.93,1510.88,1.00106
log_lik[36],-1.1297,0.00327363,0.170088,0.167443,-1.42637,-1.11737,-0.876656,2764.52,2290.24,1405.45,1.00164
log_lik[37],-1.19804,0.00121421,0.0602958,0.0602339,-1.30191,-1.19582,-1.10617,2606.99,1861.67,1325.37,1.00153
log_lik[38],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[39],-0.538215,0.00115146,0.0556135,0.0565499,-0.632171,-0.538124,-0.448552,2396.76,2064.21,1218.49,1.00068
log_lik[40],-0.544127,0.00112778,0.0545981,0.0560188,-0.636939,-0.544089,-0.456804,2414.34,2266.43,1227.42,1.00085
log_lik[41],-0.57836,0.00110991,0.0557361,0.0568021,-0.672966,-0.577808,-0.48973,2653.88,2132.56,1349.2,1.00151
log_lik[42],-0.57836,0.00110991,0.0557361,0.0568021,-0.672966,-0.577808,-0.48973,2653.88,2132.56,1349.2,1.00151
log_lik[43],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[44],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[45],-0.595497,0.00163417,0.0814091,0.0785672,-0.736566,-0.590015,-0.473381,2676.08,2393.31,1360.49,1.00238
log_lik[46],-1.19804,0.00121421,0.0602958,0.0602339,-1.30191,-1.19582,-1.10617,2606.99,1861.67,1325.37,1.00153
log_lik[47],-0.544127,0.00112778,0.0545981,0.0560188,-0.636939,-0.544089,-0.456804,2414.34,2266.43,1227.42,1.00085
log_lik[48],-0.655415,0.00206686,0.0982988,0.0955318,-0.834324,-0.645595,-0.509484,2505.62,1985.14,1273.83,1.00084
log_lik[49],-2.25659,0.00341894,0.175739,0.175002,-2.55616,-2.24784,-1.99248,2589.6,2276.66,1316.52,1.00212
log_lik[50],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[51],-0.998681,0.00297192,0.151225,0.14797,-1.26521,-0.986631,-0.766364,2514.9,2134.54,1278.54,1.00035
log_lik[52],-0.589565,0.00117219,0.0599986,0.0594356,-0.694219,-0.587669,-0.496039,2748.22,2514.37,1397.16,1.00116
log_lik[53],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[54],-2.25659,0.00341894,0.175739,0.175002,-2.55616,-2.24784,-1.99248,2589.6,2276.66,1316.52,1.00212
log_lik[55],-1.25941,0.00172606,0.0851095,0.0814017,-1.41116,-1.24924,-1.13751,2620.63,2776.36,1332.3,1.0003
log_lik[56],-0.57836,0.00110991,0.0557361,0.0568021,-0.672966,-0.577808,-0.48973,2653.88,2132.56,1349.2,1.00151
log_lik[57],-0.628272,0.00181623,0.087223,0.0838523,-0.780666,-0.622439,-0.496026,2532.07,1892.83,1287.28,1.00141
log_lik[58],-0.57836,0.00110991,0.0557361,0.0568021,-0.672966,-0.577808,-0.48973,2653.88,2132.56,1349.2,1.00151
log_lik[59],-6.62246,0.0162658,0.81884,0.834998,-8.02271,-6.58078,-5.35562,2553.66,2310.01,1298.25,1.00278
log_lik[60],-0.595497,0.00163417,0.0814091,0.0785672,-0.736566,-0.590015,-0.473381,2676.08,2393.31,1360.49,1.00238
log_lik[61],-0.538215,0.00115146,0.0556135,0.0565499,-0.632171,-0.538124,-0.448552,2396.76,2064.21,1218.49,1.00068
log_lik[62],-0.589565,0.00117219,0.0599986,0.0594356,-0.694219,-0.587669,-0.496039,2748.22,2514.37,1397.16,1.00116
log_lik[63],-0.998681,0.00297192,0.151225,0.14797,-1.26521,-0.986631,-0.766364,2514.9,2134.54,1278.54,1.00035
log_lik[64],-0.595497,0.00163417,0.0814091,0.0785672,-0.736566,-0.590015,-0.473381,2676.08,2393.31,1360.49,1.00238
log_lik[65],-1.11391,0.00153051,0.083493,0.0814976,-1.24423,-1.11733,-0.969523,3023.18,2974.06,1536.95,1.0008
log_lik[66],-1.29169,0.00215113,0.107294,0.0967824,-1.4872,-1.27299,-1.14756,2561.26,2684.69,1302.11,1.00027
log_lik[67],-2.3522,0.00364846,0.192913,0.194252,-2.68074,-2.3405,-2.05314,2737.08,2282.78,1391.5,1.0008
log_lik[68],-1.1297,0.00327363,0.170088,0.167443,-1.42637,-1.11737,-0.876656,2764.52,2290.24,1405.45,1.00164
log_lik[69],-1.11391,0.00153051,0.083493,0.0814976,-1.24423,-1.11733,-0.969523,3023.18,2974.06,1536.95,1.0008
log_lik[70],-0.544127,0.00112778,0.0545981,0.0560188,-0.636939,-0.544089,-0.456804,2414.34,2266.43,1227.42,1.00085
log_lik[71],-0.544127,0.00112778,0.0545981,0.0560188,-0.636939,-0.544089,-0.456804,2414.34,2266.43,1227.42,1.00085
log_lik[72],-0.589565,0.00117219,0.0599986,0.0594356,-0.694219,-0.587669,-0.496039,2748.22,2514.37,1397.16,1.00116
log_lik[73],-1.19804,0.00121421,0.0602958,0.0602339,-1.30191,-1.19582,-1.10617,2606.99,1861.67,1325.37,1.00153
log_lik[74],-0.998681,0.00297192,0.151225,0.14797,-1.26521,-0.986631,-0.766364,2514.9,2134.54,1278.54,1.00035
log_lik[75],-0.57836,0.00110991,0.0557361,0.0568021,-0.672966,-0.577808,-0.48973,2653.88,2132.56,1349.2,1.00151
log_lik[76],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[77],-1.29169,0.00215113,0.107294,0.0967824,-1.4872,-1.27299,-1.14756,2561.26,2684.69,1302.11,1.00027
log_lik[78],-1.29169,0.00215113,0.107294,0.0967824,-1.4872,-1.27299,-1.14756,2561.26,2684.69,1302.11,1.00027
log_lik[79],-1.19804,0.00121421,0.0602958,0.0602339,-1.30191,-1.19582,-1.10617,2606.99,1861.67,1325.37,1.00153
log_lik[80],-0.544127,0.00112778,0.0545981,0.0560188,-0.636939,-0.544089,-0.456804,2414.34,2266.43,1227.42,1.00085
log_lik[81],-0.605363,0.00167497,0.082424,0.0801298,-0.747675,-0.600278,-0.481578,2630.94,2320.83,1337.54,1.00173
log_lik[82],-0.595497,0.00163417,0.0814091,0.0785672,-0.736566,-0.590015,-0.473381,2676.08,2393.31,1360.49,1.00238
log_lik[83],-0.538215,0.00115146,0.0556135,0.0565499,-0.632171,-0.538124,-0.448552,2396.76,2064.21,1218.49,1.00068
log_lik[84],-0.628272,0.00181623,0.087223,0.0838523,-0.780666,-0.622439,-0.496026,2532.07,1892.83,1287.28,1.00141
log_lik[85],-1.29169,0.00215113,0.107294,0.0967824,-1.4872,-1.27299,-1.14756,2561.26,2684.69,1302.11,1.00027
log_lik[86],-1.19804,0.00121421,0.0602958,0.0602339,-1.30191,-1.19582,-1.10617,2606.99,1861.67,1325.37,1.00153
log_lik[87],-1.11391,0.00153051,0.083493,0.0814976,-1.24423,-1.11733,-0.969523,3023.18,2974.06,1536.95,1.0008
log_lik[88],-0.655415,0.00206686,0.0982988,0.0955318,-0.834324,-0.645595,-0.509484,2505.62,1985.14,1273.83,1.00084
