,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[75],-1.47447,0.00112278,0.0541784,0.0525702,-1.57318,-1.46956,-1.39383,2354.82,2810.83,1311.15,1.00047
log_lik[76],-1.80698,0.00153725,0.096461,0.094655,-1.98641,-1.79809,-1.6669,3762.8,3014.74,2095.1,1.00177
log_lik[77],-1.27191,0.00141985,0.0668709,0.0679414,-1.3837,-1.27089,-1.1621,2249.22,1884.6,1252.35,1.00119
log_lik[78],-1.2472,0.00124195,0.0621692,0.0627403,-1.34941,-1.24595,-1.14552,2569.51,2329.18,1430.69,1.00121
log_lik[79],-1.7137,0.00141005,0.0713975,0.0710536,-1.83765,-1.70716,-1.60538,2370.53,1882.36,1319.89,1.00009
log_lik[80],-1.7137,0.00141005,0.0713975,0.0710536,-1.83765,-1.70716,-1.60538,2370.53,1882.36,1319.89,1.00009
log_lik[81],-1.23308,0.00112243,0.0562456,0.0586138,-1.32503,-1.23251,-1.14011,2543.7,2340.51,1416.32,1.00176
log_lik[82],-1.21215,0.00116086,0.0577977,0.0585147,-1.30941,-1.21258,-1.11807,2520.99,2321.11,1403.67,1.00165
log_lik[83],-1.24423,0.00111275,0.0557928,0.0586514,-1.33673,-1.2435,-1.15303,2552.14,2211.36,1421.01,1.00201
log_lik[84],-1.29831,0.00109641,0.0582907,0.0593583,-1.39484,-1.29886,-1.20509,2886.07,2591.4,1606.94,1.00091
log_lik[85],-1.73945,0.00215658,0.11694,0.119633,-1.93298,-1.73909,-1.54614,2971.94,2817.0,1654.75,0.999931
log_lik[86],-1.80132,0.00256564,0.124935,0.128545,-2.01043,-1.80173,-1.59855,2391.14,1823.85,1331.37,1.00008
log_lik[87],-1.65856,0.00179032,0.0864513,0.084427,-1.80423,-1.65754,-1.52102,2317.97,2663.9,1290.63,1.00015
log_lik[88],-1.30472,0.00129618,0.0672083,0.0654815,-1.41762,-1.30164,-1.2014,2722.69,2796.47,1515.97,1.00163
log_lik[89],-1.7137,0.00141005,0.0713975,0.0710536,-1.83765,-1.70716,-1.60538,2370.53,1882.36,1319.89,1.00009
